chr	start	end	log2_TNratio_corrected
chr1	1000001	1500000	NA
chr1	1500001	2000000	0.0968409401230471
chr1	2000001	2500000	NA
chr1	3000001	3500000	-0.142176914621548
chr1	4000001	4500000	-0.138867502638846
chr1	4500001	5000000	-0.12145379834442
chr1	5000001	5500000	0.0148799335668922
chr1	5500001	6000000	-0.161514958000715
chr1	6000001	6500000	-0.121713099227492
chr1	6500001	7000000	0.0235318129251882
chr1	7000001	7500000	-0.055126392518866
chr1	7500001	8000000	-0.0338050862909215
chr1	8000001	8500000	-0.00365214849212642
chr1	8500001	9000000	0.0871620961380796
chr1	9000001	9500000	-0.0226507226235486
chr1	9500001	10000000	0.0186028840864297
chr1	10000001	10500000	0.0256833595218548
chr1	10500001	11000000	-0.0888214225157427
chr1	11000001	11500000	-0.0223574188715881
chr1	11500001	12000000	-0.152226887014698
chr1	12000001	12500000	0.0497925860372568
chr1	14000001	14500000	-0.055459657009399
chr1	14500001	15000000	-0.128985092187801
chr1	15000001	15500000	-0.0726937146697503
chr1	15500001	16000000	-0.0588859920161964
chr1	16000001	16500000	0.00187192109587044
chr1	17500001	18000000	-0.142489896107488
chr1	18000001	18500000	-0.157205873501348
chr1	18500001	19000000	-0.0683906946132337
chr1	19000001	19500000	-0.0439525597228603
chr1	19500001	20000000	0.0454096171987141
chr1	20000001	20500000	-0.1360007892962
chr1	20500001	21000000	-0.122391617558934
chr1	21000001	21500000	0.09774430161735
chr1	21500001	22000000	-0.00232746490530724
chr1	22000001	22500000	-0.0572497221181068
chr1	22500001	23000000	-0.12327013684743
chr1	23000001	23500000	-0.0151100042127852
chr1	23500001	24000000	-0.068838597770862
chr1	24000001	24500000	-0.0201407590742793
chr1	24500001	25000000	-0.0210810611255518
chr1	25000001	25500000	-0.0493692130492164
chr1	26000001	26500000	-0.0357774478520389
chr1	26500001	27000000	0.071929902886489
chr1	27000001	27500000	0.0722547776722142
chr1	27500001	28000000	0.135761928106258
chr1	28000001	28500000	0.124175497819041
chr1	28500001	29000000	0.068467994903377
chr1	29000001	29500000	0.0281077016156032
chr1	30000001	30500000	NA
chr1	30500001	31000000	-0.124258735940366
chr1	31000001	31500000	-0.0495233938514835
chr1	31500001	32000000	-0.0496312444407012
chr1	32000001	32500000	0.0259879753218218
chr1	32500001	33000000	-0.0577457584390821
chr1	33000001	33500000	0.00816532576666667
chr1	33500001	34000000	0.0756213418266961
chr1	34000001	34500000	-0.0979491945903337
chr1	34500001	35000000	-0.0203333076963103
chr1	35000001	35500000	-0.074727423896782
chr1	35500001	36000000	-0.0166862331712354
chr1	36000001	36500000	0.027223407636673
chr1	36500001	37000000	0.105932656948703
chr1	37000001	37500000	-0.148104049805381
chr1	37500001	38000000	-0.0483937670942523
chr1	38000001	38500000	0.064391285599843
chr1	38500001	39000000	-0.0652804902404128
chr1	39000001	39500000	0.0219422335885189
chr1	39500001	40000000	-0.0274007853208806
chr1	40000001	40500000	-0.026232492777021
chr1	40500001	41000000	0.103911119495852
chr1	41000001	41500000	-0.0203015027066886
chr1	41500001	42000000	0.00292955739369534
chr1	42000001	42500000	-0.0652108472934611
chr1	42500001	43000000	-0.0388367161011858
chr1	43000001	43500000	0.0583823596975175
chr1	43500001	44000000	-0.103794523382518
chr1	44000001	44500000	0.0590413960473834
chr1	44500001	45000000	-0.0687188283092409
chr1	45000001	45500000	-0.0202696812433542
chr1	45500001	46000000	0.0134241981786662
chr1	46000001	46500000	0.0251383200191352
chr1	46500001	47000000	0.0227597113816695
chr1	47000001	47500000	-0.0141221890631109
chr1	47500001	48000000	-0.0149910494388759
chr1	48000001	48500000	-0.0750605078416516
chr1	48500001	49000000	-0.0706759601335125
chr1	49000001	49500000	-0.0191637547981503
chr1	49500001	50000000	0.0653412317045431
chr1	50000001	50500000	-0.039720017465904
chr1	50500001	51000000	-0.083080115975379
chr1	51000001	51500000	0.0170377265166704
chr1	51500001	52000000	-0.0558167248983119
chr1	52000001	52500000	0.0665225906775761
chr1	52500001	53000000	0.00477503439147658
chr1	53000001	53500000	-0.0175844656394601
chr1	53500001	54000000	-0.0683812316859431
chr1	54000001	54500000	-0.0168474706340855
chr1	54500001	55000000	-0.0870944736040142
chr1	55000001	55500000	-0.0789639906895914
chr1	55500001	56000000	-0.010886833608325
chr1	56000001	56500000	-0.0395017991773564
chr1	56500001	57000000	-0.127155314418907
chr1	57000001	57500000	-0.0346254449780584
chr1	57500001	58000000	-0.0639907854620601
chr1	58000001	58500000	-0.100035608603414
chr1	58500001	59000000	-0.0626361874295042
chr1	59000001	59500000	-0.0353613308772762
chr1	59500001	60000000	-0.05234324541494
chr1	60000001	60500000	0.0300983154652384
chr1	60500001	61000000	-0.0226551745049959
chr1	61000001	61500000	-0.0516070854438234
chr1	61500001	62000000	-0.061131161412014
chr1	62000001	62500000	-0.0155669845994582
chr1	62500001	63000000	-0.0284533299342608
chr1	63000001	63500000	-0.0590003964992442
chr1	63500001	64000000	0.0297968322832455
chr1	64000001	64500000	-0.0218962385647659
chr1	64500001	65000000	-0.0618304801525522
chr1	65000001	65500000	-0.0125839242170461
chr1	65500001	66000000	-0.049975342174703
chr1	66000001	66500000	0.000829766602595074
chr1	66500001	67000000	-0.0366641149628
chr1	67000001	67500000	0.0217932666391967
chr1	67500001	68000000	-0.0186156206778358
chr1	68000001	68500000	-0.0666566270549728
chr1	68500001	69000000	-0.0399678445488581
chr1	69000001	69500000	-0.00365720429524714
chr1	69500001	70000000	-0.0435894793909795
chr1	70000001	70500000	-0.0350050267133931
chr1	70500001	71000000	0.0279489614565055
